Suborder,Order
Albolls,Mollisol
Aqualfs,Alfisol
Aquands,Andisol
Aquents,Entisol
Aquepts,Inceptisol
Aquerts,Vertisol
Aquods,Spodosol
Aquolls,Mollisol
Aquox,Oxisol
Aquults,Ultisol
Arents,Entisol
Argids,Aridisol
Borolls,Mollisol
Calcids,Aridisol
Cambids,Aridisol
Cryalfs,Alfisol
Cryands,Andisol
Cryepts,Inceptisol
Cryids,Aridisol
Cryods,Spodosol
Cryolls,Mollisol
Durids,Aridisol
Fibrists,Histosol
Fluvents,Entisol
Folists,Histosol
Gelands,Andisol
Gelods,Spodosol
Gypsids,Aridisol
Hemists,Histosol
Histels,Gelisol
Humods,Spodosol
Humults,Ultisol
Ochrepts,Inceptisol
Orthels,Gelisol
Orthents,Entisol
Orthods,Spodosol
Perox,Oxisol
Psamments,Entisol
Rendolls,Mollisol
Salids,Aridisol
Saprists,Histosol
Torrands,Andisol
Torrerts,Vertisol
Torrox,Oxisol
Turbels,Gelisol
Udalfs,Alfisol
Udands,Andisol
Udepts,Inceptisol
Uderts,Vertisol
Udolls,Mollisol
Udox,Oxisol
Udults,Ultisol
Ustalfs,Alfisol
Ustands,Andisol
Ustepts,Inceptisol
Usterts,Vertisol
Ustolls,Mollisol
Ustox,Oxisol
Ustults,Ultisol
Vitrands,Andisol
Xeralfs,Alfisol
Xerands,Andisol
Xerepts,Inceptisol
Xererts,Vertisol
Xerolls,Mollisol
Xerults,Ultisol
Gelepts,Inceptisol
Cryerts,Vertisol
Gelolls,Mollisol
Anthrepts,Inceptisol